iter	Logloss
0	0.6926350886
1	0.6919322825
2	0.6911607478
3	0.6904542969
4	0.6898963562
5	0.6891536862
6	0.6885534871
7	0.6880864908
8	0.6875021936
9	0.6868958134
10	0.686166936
11	0.685796227
12	0.6853293534
13	0.6849074771
14	0.6843662347
15	0.6837974815
16	0.6833418937
17	0.6828721443
18	0.6823236833
19	0.6817273421
20	0.6812087529
21	0.6805360983
22	0.6800101958
23	0.679470638
24	0.6789287275
25	0.6785978439
26	0.6779865274
27	0.6775009453
28	0.6769126784
29	0.6762337976
30	0.6756532098
31	0.6751597508
32	0.6745442041
33	0.6739937693
34	0.6732813702
35	0.6728680219
36	0.6722455034
37	0.6717263063
38	0.6713030963
39	0.6706015379
40	0.6698700469
41	0.6692325249
42	0.6686419806
43	0.6680774893
44	0.6674368403
45	0.6672107558
46	0.6667568723
47	0.6661960936
48	0.6656501761
49	0.6650567421
50	0.6646969633
51	0.6641144434
52	0.6635045468
53	0.6629709776
54	0.6624611807
55	0.661904095
56	0.6613436197
57	0.6606799963
58	0.660158559
59	0.6595154787
60	0.6590674211
61	0.6586570098
62	0.6580722795
63	0.657627263
64	0.6569733442
65	0.6564905905
66	0.6560095324
67	0.6554042024
68	0.6547825843
69	0.6543046976
70	0.6538128766
71	0.653254074
72	0.6527594778
73	0.6522352591
74	0.6516082795
75	0.651008127
76	0.6505883433
77	0.6501646688
78	0.6499677057
79	0.6493816073
80	0.6489281202
81	0.6486787511
82	0.648041265
83	0.6475066393
84	0.6469175023
85	0.6462849365
86	0.6456627573
87	0.6451840673
88	0.6446218891
89	0.6439649185
90	0.6433837331
91	0.6427966293
92	0.6421957527
93	0.6418311081
94	0.6412569191
95	0.6407558382
96	0.6403251014
97	0.6398186899
98	0.6392017893
99	0.6387468309
100	0.6381847409
101	0.6376970834
102	0.6372440896
103	0.6367479565
104	0.6362446173
105	0.6357896261
106	0.635118151
107	0.6346278277
108	0.634110896
109	0.6335370532
110	0.6332533385
111	0.632862803
112	0.6321504705
113	0.6316605814
114	0.6310757351
115	0.6307191644
116	0.6302128036
117	0.6297032857
118	0.62912474
119	0.6286739563
120	0.6280777378
121	0.6274757194
122	0.6270806051
123	0.6266490008
124	0.6261368066
125	0.6255597224
126	0.6249861939
127	0.62456614
128	0.624239969
129	0.6237295941
130	0.6231125119
131	0.6226260646
132	0.6221696191
133	0.6215416419
134	0.6211515475
135	0.6206816601
136	0.6201322377
137	0.6196682635
138	0.6191699625
139	0.6185822823
140	0.6180740095
141	0.6176089556
142	0.6171591153
143	0.6165621674
144	0.6162213673
145	0.6157049111
146	0.6150422295
147	0.6145055375
148	0.6139128887
149	0.6133908792
150	0.6128911908
151	0.6122292227
152	0.6119013445
153	0.6113702099
154	0.6109152833
155	0.6103401546
156	0.6100742144
157	0.6096272076
158	0.609078058
159	0.6084383045
160	0.6079914331
161	0.607455267
162	0.6068902882
163	0.6064922422
164	0.6060429953
165	0.6057890674
166	0.6053699637
167	0.6047202906
168	0.6040841519
169	0.6036746807
170	0.603190302
171	0.6028220205
172	0.6023634199
173	0.6018513963
174	0.6017288221
175	0.6011967149
176	0.6007378472
177	0.6002407532
178	0.5998878486
179	0.5993112252
180	0.5989519514
181	0.5983919179
182	0.5977803406
183	0.5972215266
184	0.5967229295
185	0.5963387786
186	0.5957569179
187	0.5952434948
188	0.59480343
189	0.5941514564
190	0.593667303
191	0.5930603769
192	0.5925100754
193	0.5920791183
194	0.591453456
195	0.5909237067
196	0.5904328201
197	0.5901119744
198	0.5895737714
199	0.5892271719
200	0.588679174
201	0.5881075574
202	0.5876014348
203	0.5870591095
204	0.5865276484
205	0.5859959784
206	0.5854608604
207	0.5849831289
208	0.5844363463
209	0.5839536422
210	0.5834541631
211	0.582866301
212	0.5822537494
213	0.58183914
214	0.5813851118
215	0.5809794522
216	0.5804301005
217	0.5797864744
218	0.5791235191
219	0.578600279
220	0.57807559
221	0.5776870397
222	0.5772250803
223	0.5768176772
224	0.5764038008
225	0.5760005984
226	0.5754109444
227	0.5748742268
228	0.5743044074
229	0.5737103971
230	0.5732894071
231	0.5729659053
232	0.5725146424
233	0.5719923148
234	0.5715076002
235	0.5708648568
236	0.5704121838
237	0.5700844688
238	0.5695289374
239	0.5690451883
240	0.5686377876
241	0.5681332642
242	0.567759372
243	0.5673642442
244	0.5669930779
245	0.5664888531
246	0.566091724
247	0.5655417401
248	0.5651036532
249	0.564616787
250	0.5641524627
251	0.5636032195
252	0.5630814978
253	0.5626743673
254	0.5622827712
255	0.5619251413
256	0.5614187807
257	0.5610072662
258	0.5606852043
259	0.5602242501
260	0.5597461236
261	0.5594620944
262	0.5589932287
263	0.5584558122
264	0.558138066
265	0.5576574095
266	0.5572418572
267	0.5568843595
268	0.5563692915
269	0.555967308
270	0.5555950634
271	0.5552057003
272	0.5547524739
273	0.5544053339
274	0.554085805
275	0.5538258198
276	0.5533407565
277	0.5529554865
278	0.5525200978
279	0.5521316153
280	0.5517265431
281	0.5512187018
282	0.5508427671
283	0.550362493
284	0.549980085
285	0.549608779
286	0.5491344303
287	0.5486143881
288	0.548262385
289	0.5478778579
290	0.5473982434
291	0.5469343722
292	0.5465348656
293	0.5461093013
294	0.5457504448
295	0.5453701519
296	0.544897973
297	0.5444081695
298	0.5439345828
299	0.5435050781
300	0.5431579914
301	0.5427485345
302	0.5423253949
303	0.542254624
304	0.5418684876
305	0.5413264945
306	0.5409260617
307	0.5406049176
308	0.5402581466
309	0.5399132447
310	0.5395728326
311	0.5391443833
312	0.5388274187
313	0.5383274396
314	0.5378448915
315	0.5374483584
316	0.537018531
317	0.5365569033
318	0.536073796
319	0.5356931732
320	0.5352584637
321	0.534792427
322	0.5343842763
323	0.5339905261
324	0.5336482112
325	0.5333292498
326	0.5329419681
327	0.5325550613
328	0.5320816437
329	0.5317020124
330	0.5312594901
331	0.5306964737
332	0.5302647021
333	0.529936251
334	0.5296000095
335	0.5291683946
336	0.5286614958
337	0.5283206775
338	0.5278595634
339	0.527400262
340	0.5269427944
341	0.5265486795
342	0.5261275121
343	0.5256059062
344	0.5252318641
345	0.5247703219
346	0.5243606716
347	0.5240037212
348	0.5235372606
349	0.5231636235
350	0.5227485529
351	0.522423947
352	0.5220564705
353	0.5216592713
354	0.5212892828
355	0.521009626
356	0.520611134
357	0.5201982927
358	0.5197944286
359	0.5194862177
360	0.5190292497
361	0.5186141796
362	0.5181675201
363	0.51781501
364	0.5174237756
365	0.5170221232
366	0.516666631
367	0.5161972855
368	0.5157432621
369	0.5154246186
370	0.5150572937
371	0.5147121808
372	0.5143876656
373	0.5140791344
374	0.5136392427
375	0.5133129084
376	0.512890122
377	0.5124767146
378	0.5121386539
379	0.5117287959
380	0.5112582371
381	0.5109388626
382	0.5105282453
383	0.5101913802
384	0.5097829946
385	0.5094679645
386	0.5092159211
387	0.5089138287
388	0.5085356267
389	0.5081128538
390	0.507670012
391	0.5072623949
392	0.5069030867
393	0.506459381
394	0.5060240714
395	0.5055900279
396	0.5052409917
397	0.5047296086
398	0.5043531946
399	0.5039138514
400	0.5034690451
401	0.5030917341
402	0.5028216131
403	0.5027039659
404	0.5022283972
405	0.5017092934
406	0.5012809685
407	0.5008819807
408	0.5005011819
409	0.5001032501
410	0.4997383845
411	0.4993645406
412	0.4990132782
413	0.4987482143
414	0.4984353135
